iter	Passed	Remaining
0	1	169
1	3	154
2	4	144
3	5	138
4	7	136
5	8	139
6	10	138
7	11	135
8	13	132
9	14	129
10	15	126
11	16	124
12	18	123
13	20	122
14	21	124
15	23	123
16	24	121
17	26	120
18	27	118
19	29	116
20	30	114
21	31	112
22	33	110
23	34	109
24	36	109
25	38	108
26	39	106
27	40	104
28	41	102
29	43	100
30	44	99
31	46	97
32	47	96
33	48	94
34	50	94
35	52	93
36	53	91
37	55	90
38	56	88
39	57	86
40	59	85
41	60	82
42	61	81
43	62	79
44	64	78
45	66	78
46	68	77
47	70	76
48	72	75
49	73	73
50	75	72
51	76	70
52	78	69
53	80	68
54	81	66
55	83	65
56	87	65
57	123	89
58	140	97
59	144	96
60	147	94
61	150	92
62	157	92
63	160	90
64	163	88
65	166	85
66	211	103
67	226	106
68	229	103
69	232	99
70	235	96
71	241	93
72	243	90
73	246	86
74	248	82
75	251	79
76	256	76
77	259	73
78	262	69
79	264	66
80	266	62
81	272	59
82	274	56
83	277	52
84	279	49
85	282	45
86	285	42
87	288	39
88	291	36
89	293	32
90	300	29
91	304	26
92	308	23
93	313	19
94	320	16
95	334	13
96	351	10
97	357	7
98	365	3
99	369	0
